Region;Gene
PCL;LGALS7B
PCL;TP53AIP1
PCL;SDR16C5
PCL;SLC1A6
PCL;STAC
PCL;GRB14
PCL;ANAPC1P1
PCL;PCP4L1
PCL;CALB1
PCL;TGFA
PCL;KIAA0226L
PCL;WFDC2
PCL;MTL5
PCL;EPCAM
PCL;PKP1
PCL;ASPG
PCL;BSPRY
PCL;ARHGAP20
PCL;SCN2A
PCL;IL1RAPL2
PCL;PDE11A
PCL;PNOC
PCL;DCHS2
PCL;CA8
PCL;THBS1
PCL;C3orf55
PCL;ITPR1
PCL;GPR26
PCL;KITLG
PCL;FAM26E
PCL;SST
PCL;SHH
PCL;ATP12A
PCL;IL22
PCL;NPFFR2
PCL;SCN7A
PCL;EGFL6
PCL;LTK
PCL;PADI1
PCL;SOWAHA
PCL;AP1M2
PCL;GOLT1A
PCL;CYP2S1
PCL;ALDH1A3
PCL;NEFM
PCL;SKOR2
PCL;WNT16
PCL;IL1RL2
PCL;NPSR1
PCL;CRB3
PCL;NDNF
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
